Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
RobotBattleLearningBrain,4.486,6363.770,9.160,32520,0.133
RobotBattleLearningBrain,4.474,6378.025,9.091,32452,0.133
RobotBattleLearningBrain,4.507,6392.366,9.143,32524,0.133
RobotBattleLearningBrain,4.540,6406.703,9.110,32524,0.133
RobotBattleLearningBrain,6.639,6425.523,11.279,32430,0.133
RobotBattleLearningBrain,4.721,6445.805,14.290,32526,0.133
RobotBattleLearningBrain,5.100,6462.856,11.053,32452,0.133
RobotBattleLearningBrain,4.439,6480.084,12.073,32430,0.133
RobotBattleLearningBrain,4.483,6494.520,9.253,32548,0.133
RobotBattleLearningBrain,4.552,6508.887,9.138,32468,0.133
RobotBattleLearningBrain,4.499,6523.157,9.092,32562,0.133
RobotBattleLearningBrain,4.564,6537.418,9.016,32454,0.133
RobotBattleLearningBrain,4.521,6551.757,9.127,32526,0.133
RobotBattleLearningBrain,4.915,6566.583,9.226,32520,0.133
RobotBattleLearningBrain,4.532,6581.738,9.938,32394,0.133
RobotBattleLearningBrain,4.471,6596.130,9.237,32526,0.132
RobotBattleLearningBrain,4.862,6610.742,9.065,32522,0.132
RobotBattleLearningBrain,4.371,6625.017,9.216,32394,0.132
RobotBattleLearningBrain,4.441,6639.276,9.139,32584,0.133
RobotBattleLearningBrain,4.468,6653.657,9.230,32510,0.133
RobotBattleLearningBrain,4.485,6667.945,9.125,32440,0.132
RobotBattleLearningBrain,4.566,6682.314,9.118,32524,0.132
RobotBattleLearningBrain,4.487,6696.699,9.197,32396,0.132
RobotBattleLearningBrain,6.469,6712.982,9.138,32524,0.132
RobotBattleLearningBrain,4.546,6727.631,9.403,32524,0.132
RobotBattleLearningBrain,4.456,6741.952,9.182,32492,0.132
